Year,Teacher,Period,Table,Beansprout,min0,min5,min10,min15,min20
2017,Ching,6,a,mature,,40,90,136,170
2017,Ching,6,b,mature,,20,45,65,86
2017,Ching,6,c,mature,,30,59,83,110
2017,Ching,6,d,mature,,55,96,130,170
2017,Ching,6,e,mature,,,,,
2017,Ching,8,a,mature,,20,76,95,125
2017,Ching,8,b,mature,,47,59,79,110
2017,Ching,8,c,mature,,39,68,105,
2017,Ching,8,d,mature,,,,,
2017,Ching,8,e,mature,,,,,
2017,Kusao,2,a,mature,,50,85,130,155
2017,Kusao,2,b,mature,,35,70,80,113
2017,Kusao,2,c,mature,,37,55,83,109
2017,Kusao,2,d,mature,,,,,
2017,Kusao,2,e,mature,,,,,
2017,Kusao,3,a,mature,,62,98,133,162
2017,Kusao,3,b,mature,,12,25,40,54
2017,Kusao,3,c,mature,,30,60,90,110
2017,Kusao,3,d,mature,,35,68,87,100
2017,Kusao,3,e,mature,,,,,
2017,Kusao,4,a,mature,,39,87,135,174
2017,Kusao,4,b,mature,,39,73,111,141
2017,Kusao,4,c,mature,,44,73,102,135
2017,Kusao,4,d,mature,,23,51,79,96
2017,Kusao,4,e,mature,,,,,
2017,Kusao,7,a,mature,,30,65,94,125
2017,Kusao,7,b,mature,,25,43,62,85
2017,Kusao,7,c,mature,,33,40,89,158
2017,Kusao,7,d,mature,,12,25,38,40
2017,Kusao,7,e,mature,,,,,
2017,Kusao,8,a,mature,,26,57,88,114
2017,Kusao,8,b,mature,,40,50,110,140
2017,Kusao,8,c,mature,,,,,
2017,Kusao,8,d,mature,,21,41,66,91
2017,Kusao,8,e,mature,,,,,
2017,Lee,1,a,mature,,35,70,110,145
2017,Lee,1,b,mature,,23,42,62,83
2017,Lee,1,c,mature,,40,70,90,140
2017,Lee,1,d,mature,,19,40,63,82
2017,Lee,1,e,mature,,,,,
2017,Lee,3,a,mature,,1,8,9,10
2017,Lee,3,b,mature,,,,,
2017,Lee,3,c,mature,,26,50,73,94
2017,Lee,3,d,mature,,20,43,67,87
2017,Lee,3,e,mature,,,,,
2017,Lee,4,a,mature,,33,54,106,124
2017,Lee,4,b,mature,,61,70,98,120
2017,Lee,4,c,mature,,27,55,82,102
2017,Lee,4,d,mature,,25,50,73,87
2017,Lee,4,e,mature,,,,,
2017,Lee,5,a,mature,,36,67,98,129
2017,Lee,5,b,mature,,48,141,173,198
2017,Lee,5,c,mature,,,,,
2017,Lee,5,d,mature,,20,38,55,74
2017,Lee,5,e,mature,,,,,
2017,Lee,6,a,mature,,50,95,127,154
2017,Lee,6,b,mature,,,,,
2017,Lee,6,c,mature,,,,,
2017,Lee,6,d,mature,,16,35,55,75
2017,Lee,6,e,mature,,,,,
2017,Lee,8,a,mature,,,,,
2017,Lee,8,b,mature,,,,,
2017,Lee,8,c,mature,,,,,
2017,Lee,8,d,mature,,,,,
2017,Lee,8,e,mature,,,,,
2017,Chan,7,a,mature,,13,32,45,60
2017,Chan,7,b,mature,,23,46,68,90
2017,Chan,7,c,mature,,29,54,78,103
2017,Chan,7,d,mature,,35,80,122,
2017,Chan,7,,mature,,,,,
