"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Ryan Flaherty","","3B","999.0","117","127.7","($815.5)","$60.3","($754.2)"
"Austin Jackson","","OF","999.0","180","183.6","($757.3)","$1.4","($754.9)"
"Garrett Cooper","Marlins","1B/OF","601.0","168","183.3","($757.5)","$1.4","($755.1)"
"Tyler Wade","Yankees","2B","999.0","114","125.9","($817.3)","$59.8","($756.6)"
"Christian Walker","Diamondbacks","1B/OF/DH","593.4","151","180.2","($760.8)","$1.4","($758.4)"
"Brad Miller","Indians","1B/2B","600.3","102","124.2","($819.2)","$59.8","($758.4)"
"Pablo Reyes","Pirates","2B/3B/OF","999.0","104","123.8","($819.6)","$59.8","($758.8)"
"Greg Allen","Indians","OF","308.9","149","177.6","($763.5)","$1.4","($761.1)"
"Dylan Moore","","1B","999.0","147","160.6","($781.2)","$18.8","($761.4)"
"Leury Garcia","White Sox","OF","598.6","157","175.2","($765.9)","$1.4","($763.5)"
"Matt Davidson","Rangers","1B/DH","598.8","135","156.0","($786.0)","$18.8","($766.2)"
"Aaron Altherr","Phillies","OF","600.8","146","172.5","($768.7)","$1.4","($766.4)"
"Michael Hermosillo","Angels","OF","999.0","149","169.9","($771.5)","$1.4","($769.1)"
"Jose Iglesias","Reds","SS","594.1","167","184.5","($756.3)","($15.0)","($770.3)"
"Phillip Ervin","Reds","OF","600.2","136","167.5","($774.0)","$1.4","($771.6)"
"Melky Cabrera","Pirates","OF","600.2","141","161.9","($779.9)","$1.4","($777.5)"
"Brett Phillips","Royals","OF","599.3","150","159.0","($782.8)","$1.4","($780.5)"
"Alex Blandino","Reds","2B","601.0","90","97.1","($847.4)","$59.8","($786.6)"
"Bradley Zimmer","Indians","OF","576.4","124","152.4","($789.7)","$1.4","($787.3)"
"Matt Joyce","Braves","OF","601.0","123","151.9","($790.3)","$1.4","($787.9)"
"Noel Cuevas","Rockies","OF","999.0","130","150.5","($791.7)","$1.4","($789.3)"
"Tyler Austin","Giants","1B/DH","595.1","101","126.6","($816.6)","$18.8","($796.9)"
"Cory Spangenberg","Brewers","2B/3B","599.7","75","84.4","($860.7)","$59.8","($799.9)"
"Ehire Adrianza","Twins","3B/SS","600.8","141","155.9","($786.1)","($15.0)","($800.1)"
"Gordon Beckham","Tigers","2B/3B/SS/DH","999.0","141","153.3","($788.8)","($15.0)","($802.8)"
"Kevin Kramer","Pirates","2B/3B","600.4","72","80.7","($864.5)","$59.8","($803.7)"
"Yoenis Cespedes","Mets","OF","566.8","103","136.4","($806.4)","$1.4","($804.0)"
"Mitch Walding","Phillies","3B","999.0","73","79.2","($866.1)","$60.3","($804.8)"
"Carlos Gomez","Mets","OF","600.5","119","135.5","($807.4)","$1.4","($805.0)"
"J.D. Davis","Mets","3B","596.5","67","76.9","($868.5)","$60.3","($807.2)"
"Jose Reyes","","3B/SS","999.0","124","147.3","($795.0)","($15.0)","($809.1)"
"Guillermo Heredia","Rays","OF","999.0","121","131.1","($812.0)","$1.4","($809.6)"
"Jose Rondon","White Sox","1B/2B/3B/SS/DH","999.0","130","146.9","($795.5)","($15.0)","($809.6)"
"Nick Williams","Phillies","OF","583.6","107","130.9","($812.2)","$1.4","($809.8)"
"Brandon Phillips","","2B/3B","999.0","71","74.6","($870.9)","$59.8","($810.1)"
"Ben Gamel","Brewers","OF","600.6","111","128.7","($814.5)","$1.4","($812.1)"
"Max Moroff","Indians","2B/SS","999.0","126","143.2","($799.3)","($15.0)","($813.4)"
"Andrew Romine","","P/1B/2B/3B/SS/OF","601.0","145","140.0","($802.7)","($15.0)","($816.7)"
"Patrick Wisdom","Rangers","1B/3B","600.7","59","67.5","($878.3)","$60.3","($816.9)"
"Austin Riley","","3B","591.6","55","64.3","($881.6)","$60.3","($820.3)"
"Matt Holliday","","1B/OF/DH","999.0","103","120.7","($822.8)","$1.4","($820.4)"
"Rosell Herrera","Marlins","OF","999.0","111","119.1","($824.4)","$1.4","($822.0)"
"Andrew Toles","Dodgers","OF","600.9","106","116.9","($826.8)","$1.4","($824.4)"
"Connor Joe","Giants","OF","999.0","110","115.5","($828.2)","$1.4","($825.8)"
"Ronald Torreyes","Twins","2B","999.0","59","59.0","($887.2)","$59.8","($826.4)"
"Chris Shaw","Giants","OF","600.7","108","114.0","($829.8)","$1.4","($827.4)"
"Travis Jankowski","Padres","OF","592.5","100","113.8","($830.0)","$1.4","($827.6)"
"Charlie Culberson","Braves","3B/SS/OF","592.6","122","126.7","($816.5)","($15.0)","($830.6)"
"Brandon Dixon","Tigers","1B/OF","600.8","92","108.9","($835.2)","$1.4","($832.8)"
"Jose Osuna","Pirates","1B/3B/OF","999.0","40","47.6","($899.0)","$60.3","($837.7)"
