"PlayerName","Team","POS","ADP","PA","rPTS","PTS","aPOS","Dollars"
"Rafael Devers","Red Sox","3B","135.9","585","822.0","($207.1)","$38.4","($167.7)"
"Victor Robles","Nationals","OF","83.2","587","856.0","($173.7)","$2.1","($170.6)"
"Justin Smoak","Blue Jays","1B","230.7","615","837.0","($192.4)","$20.7","($170.6)"
"Michael Brantley","Astros","OF","119.5","597","853.0","($176.7)","$2.1","($173.6)"
"Max Kepler","Twins","OF","216.7","640","847.0","($182.5)","$2.1","($179.4)"
"Eloy Jimenez","White Sox","OF","999.0","589","845.0","($184.5)","$2.1","($181.4)"
"Jose Peraza","Reds","SS","96.0","663","849.0","($180.6)","($3.8)","($183.4)"
"Tyler White","Astros","1B/DH","286.2","551","824.0","($205.1)","$20.7","($183.4)"
"Ramon Laureano","Athletics","OF","189.5","589","841.0","($188.4)","$2.1","($185.3)"
"Jake Bauers","Indians","1B/OF","230.4","600","838.0","($191.4)","$2.1","($188.3)"
"A.J. Pollock","Dodgers","OF","110.7","577","836.0","($193.3)","$2.1","($190.2)"
"Nomar Mazara","Rangers","OF","159.6","627","835.0","($194.3)","$2.1","($191.2)"
"Mallex Smith","Mariners","OF","107.3","652","835.0","($194.3)","$2.1","($191.2)"
"Luis Urias","Padres","2B","508.3","615","759.0","($268.8)","$75.7","($192.2)"
"Jorge Alfaro","Marlins","C","248.7","456","513.0","($510.1)","$312.0","($197.1)"
"Miguel Cabrera","Tigers","1B","151.4","555","807.0","($221.8)","$20.7","($200.0)"
"Ender Inciarte","Braves","OF","140.8","643","824.0","($205.1)","$2.1","($202.0)"
"Marcus Semien","Athletics","SS","239.1","653","827.0","($202.2)","($3.8)","($204.9)"
"Harrison Bader","Cardinals","OF","198.4","599","816.0","($212.9)","$2.1","($209.8)"
"Omar Narvaez","Mariners","C","271.2","438","496.0","($526.7)","$312.0","($213.8)"
"Jonathan Schoop","Twins","2B","188.9","570","735.0","($292.4)","$75.7","($215.7)"
"Paul DeJong","Cardinals","SS","179.8","590","815.0","($213.9)","($3.8)","($216.7)"
"Maikel Franco","Phillies","3B","279.2","589","770.0","($258.1)","$38.4","($218.7)"
"Joc Pederson","Dodgers","OF","411.7","604","805.0","($223.7)","$2.1","($220.6)"
"Luke Voit","Yankees","1B","174.1","522","778.0","($250.2)","$20.7","($228.5)"
"Odubel Herrera","Phillies","OF","261.2","614","796.0","($232.6)","$2.1","($229.4)"
