"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"30","Mon 7/23 12:47pm: Motor Vehicle Collision (60), 80X KALIHI ST, Kalihi #hitraffic",FALSE,0,NA,2018-07-23 22:56:33,FALSE,NA,"1021529530123476992",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"31","Mon 7/23 12:45pm: Motor Vehicle Collision (59), MAKALOA ST + SHERIDAN ST, Honolulu #hitraffic",FALSE,0,NA,2018-07-23 22:56:33,FALSE,NA,"1021529528575778818",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"32","Mon 7/23 12:45pm: Motor Vehicle Collision (58), FARRINGTON HWY + KALAELOA BLVD, Kapolei #hitraffic",FALSE,0,NA,2018-07-23 22:56:32,FALSE,NA,"1021529526944198657",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"33","Mon 7/23 12:44pm: Motor Vehicle Collision (57), 14X KUAILIMA DR, Kailua #hitraffic",FALSE,0,NA,2018-07-23 22:56:32,FALSE,NA,"1021529525274853377",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"34","Mon 7/23 12:42pm: Motor Vehicle Collision (56) - Towed, 121X LAUKAHI ST, Waialae #hitraffic",FALSE,0,NA,2018-07-23 22:56:32,FALSE,NA,"1021529523613925376",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"35","Mon 7/23 12:33pm: Motor Vehicle Collision (55), MOANALUA RD + PUULOA RD, Mapunapuna #hitraffic",FALSE,0,NA,2018-07-23 22:42:25,FALSE,NA,"1021525972980359168",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"36","Mon 7/23 12:01pm: Motor Vehicle Collision (54), 300X HINANO ST, Kapahulu #hitraffic",FALSE,0,NA,2018-07-23 22:12:26,FALSE,NA,"1021518426521591809",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"37","Mon 7/23 11:48am: Motor Vehicle Collision (53), HEKAHA ST + KAM HWY, GOODWILL PEARL CITY, Aiea #hitraffic",FALSE,0,NA,2018-07-23 21:56:32,FALSE,NA,"1021514424794767361",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"38","Mon 7/23 11:46am: Motor Vehicle Collision (52), 140X GLEN AVE, WAHIAWA ES, Wahiawa #hitraffic",FALSE,0,NA,2018-07-23 21:56:31,FALSE,NA,"1021514423192641536",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
"39","Mon 7/23 11:46am: Motor Vehicle Collision (51), 91091X FORT WEAVER RD, FHB EWA BEACH, Ewa Beach #hitraffic",FALSE,0,NA,2018-07-23 21:56:31,FALSE,NA,"1021514421594537984",NA,"<a href=""http://www.hpdtraffic.com"" rel=""nofollow"">HPD Traffic</a>","hpdtraffic",0,FALSE,FALSE,NA,NA
