Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-10-26 04:50:46,false,"New Orleans Running","16.33","1,807","02:32:43","162","183","3.9","165","236","9:21","7:06","112","315","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","68.0","0:00","No","02:58.73","17","0.0"
treadmill_running,2019-10-25 15:15:47,false,"Treadmill Running","8.00","582","01:22:48","124","168","2.2","162","184","10:21","8:30","43","43","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","06:35.55","8","0.0"
running,2019-10-24 06:08:34,false,"Honolulu Running","5.05","402","00:50:12","129","144","2.0","163","171","9:56","8:30","453","457","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:30.85","6","0.0"
running,2019-10-23 05:33:26,false,"Honolulu Running","9.00","603","01:19:46","130","146","2.1","166","174","8:51","7:53","79","95","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:02.50","10","0.0"
running,2019-10-21 04:34:05,false,"Honolulu - 6 x 1 mi","8.00","619","01:13:06","135","156","2.3","166","176","9:08","7:35","66","82","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","02:41.86","12","0.0"
running,2019-10-20 06:19:16,false,"Honolulu Running","5.07","447","00:51:08","129","173","2.2","163","169","10:05","8:21","56","72","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:41.15","6","0.0"
running,2019-10-19 05:01:59,false,"Honolulu Running","10.08","953","01:31:38","146","164","2.7","165","173","9:05","7:33","423","446","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:42.02","11","0.0"
running,2019-10-18 05:50:29,false,"Honolulu Running","8.19","684","01:22:06","132","147","2.4","163","171","10:01","8:38","354","390","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","01:49.44","9","0.0"
treadmill_running,2019-10-17 06:56:41,false,"Treadmill Running","5.00","503","00:52:15","133","164","2.9","161","169","10:27","9:27","3","23","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","07:12.35","5","0.0"
running,2019-10-16 05:52:23,false,"Honolulu Running","9.12","751","01:22:05","142","162","2.6","165","174","9:00","7:51","85","108","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","01:17.09","10","0.0"
running,2019-10-15 17:28:39,false,"Honolulu Running","3.57","291","00:35:45","126","140","1.7","161","167","10:01","8:56","59","66","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","82.4","0:00","No","05:45.84","4","0.0"
running,2019-10-14 17:12:42,false,"Honolulu - 4x1200","6.03","523","00:53:20","139","157","2.2","165","223","8:50","6:51","43","52","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","82.4","0:00","No","02:46.91","10","0.0"
running,2019-10-13 16:39:37,false,"Honolulu Running","7.01","599","01:08:28","135","153","2.3","163","171","9:46","7:54","82","92","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","82.4","0:00","No","00:05.11","8","0.0"
running,2019-10-12 04:34:07,false,"Honolulu Running","15.38","1,465","02:24:24","149","178","3.2","165","174","9:23","7:22","538","554","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","03:31.04","16","0.0"
running,2019-10-10 06:13:01,false,"Honolulu Running","6.01","499","01:04:24","127","151","2.1","161","169","10:43","8:52","364","377","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:05.99","7","0.0"
running,2019-10-09 05:33:31,false,"Honolulu Running","9.00","778","01:22:20","143","169","2.6","167","175","9:09","7:40","98","108","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:02.57","10","0.0"
running,2019-10-08 17:23:15,false,"Honolulu Running","3.83","435","00:38:44","147","166","2.9","162","171","10:07","8:23","62","66","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","82.4","0:00","No","08:22.02","4","0.0"
running,2019-10-07 06:05:38,false,"Honolulu - 5 x 1K","5.66","406","00:52:32","128","154","2.0","167","184","9:17","6:21","59","69","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","02:30.78","12","0.0"
running,2019-10-06 06:04:04,false,"Honolulu Running","6.01","547","01:04:31","135","168","2.2","162","170","10:45","8:56","305","318","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","00:03.33","7","0.0"
running,2019-10-05 14:14:41,false,"Honolulu Running","1.50","323","00:30:27","143","166","2.2","79","197","20:16","4:59","85","75","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","87.8","0:00","No","07:55.22","2","0.0"
running,2019-10-05 13:34:43,false,"Honolulu Running","1.55","296","00:31:21","134","160","1.9","82","216","20:12","4:52","79","62","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","89.6","0:00","No","10:44.69","2","0.0"
running,2019-10-05 05:04:44,false,"Honolulu Running","10.11","1,077","01:33:28","154","191","3.4","167","176","9:15","8:14","417","440","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:59.38","11","0.0"
treadmill_running,2019-10-04 06:42:23,false,"Treadmill Running","5.05","499","00:51:50","137","181","2.3","165","184","10:15","8:52","3","16","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","78.8","0:00","No","00:34.66","6","0.0"
running,2019-10-03 05:05:48,false,"Honolulu Running","5.12","345","00:45:56","125","148","1.7","169","180","8:59","7:17","89","105","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","77.0","0:00","No","01:21.27","6","0.0"
running,2019-10-02 06:05:25,false,"Honolulu Running","3.07","298","00:32:45","132","169","1.9","163","168","10:40","9:51","59","72","0.93","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:45.65","4","0.0"
running,2019-10-01 17:41:59,false,"Honolulu - 6x800","6.22","492","00:58:41","130","157","2.0","166","187","9:26","6:30","105","112","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","02:35.69","14","0.0"
running,2019-09-29 07:44:09,false,"Honolulu Running","2.10","276","00:19:48","163","180","3.0","167","175","9:24","8:29","16","23","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:58.44","3","0.0"
treadmill_running,2019-09-29 06:28:15,false,"Treadmill Running","8.00","827","01:16:45","159","180","3.6","161","174","9:36","8:27","3","23","0.95","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","08:50.51","7","0.0"
running,2019-09-29 04:31:26,false,"Honolulu Running","10.00","973","01:36:30","144","167","2.9","167","174","9:39","8:33","105","121","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:02.09","11","0.0"
running,2019-09-27 05:04:36,false,"Honolulu Running","5.01","415","00:40:58","139","179","2.3","174","184","8:11","6:38","62","75","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","00:03.23","6","0.0"
indoor_rowing,2019-09-26 06:46:58,false,"Indoor Rowing","--","116","00:38:26","81","119","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1100","--","--","0:00","75.2","0:00","No","00:00.00","1","0.0"
running,2019-09-25 06:09:12,false,"Honolulu - Interval 2x1200, 4x800","5.19","449","00:48:40","135","183","2.2","155","189","9:23","5:56","72","98","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","01:36.19","14","0.0"
indoor_rowing,2019-09-23 06:54:16,false,"Indoor Rowing","--","81","00:30:33","77","131","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","863","--","--","0:00","77.0","0:00","No","00:00.00","1","0.0"
running,2019-09-22 07:40:13,false,"Honolulu Running","2.00","251","00:18:38","159","168","2.8","167","207","9:18","8:10","16","16","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","75.2","0:00","No","00:02.15","3","0.0"
treadmill_running,2019-09-22 06:01:24,false,"Treadmill Running","9.00","955","01:27:09","153","174","3.0","168","175","9:41","9:22","13","30","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","71.6","0:00","No","05:13.67","9","0.0"
running,2019-09-22 04:36:09,false,"Honolulu Running","8.14","786","01:18:16","143","175","2.7","167","174","9:37","8:09","46","69","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","80.6","0:00","No","01:16.61","9","0.0"
indoor_rowing,2019-09-21 06:43:14,false,"Indoor Rowing","--","124","00:35:07","88","116","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","990","--","--","0:00","75.2","0:00","No","00:00.00","1","0.0"
