Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
a2a498dc-e748-4cde-ba4a-2e1719a1b6ab,2018-04-13 07:00:27,Running,,5.00,45:38,9:08,6.57,670.0,16,,"","1 mi easy, 3 mi 8:50 short tempo, 1 mi easy ",2018-04-13-070027.gpx
4ecb3b23-7fbe-4db5-a1d9-0292c3aa8650,2018-04-11 18:02:33,Running,,6.33,1:01:25,9:42,6.18,853.0,221,,"","10x400 at 1:50 with 1:30 rest",2018-04-11-180233.gpx
c2c81572-1274-430d-8aca-a374575fe1e1,2018-04-08 06:47:01,Running,,8.00,1:14:06,9:16,6.48,1081.0,80,,"","",2018-04-08-064701.gpx
1ee97db7-0188-4fa8-823b-156fcfee4359,2018-04-06 06:36:45,Running,,6.94,1:03:38,9:11,6.54,944.0,121,,"","",2018-04-06-063645.gpx
8c9a606f-0cc0-42ac-ab06-86f77c8b577d,2018-04-04 06:46:04,Running,,4.76,44:08,9:17,6.47,675.21797257929,51,,"","Treadmill intervals 
1600, 1200, 800, 400
7.3, 7.4, 7.5, 7.6 speed
400 rest intervals ",
8fe4e9b5-16fb-49d3-acd1-988a4df47f13,2018-04-01 06:16:13,Running,,10.00,1:35:42,9:34,6.27,1363.0,62,,"","",2018-04-01-061613.gpx
8eb31cc9-147e-434d-80a0-ba7d4b7d7aa5,2018-03-30 06:50:40,Running,,4.97,47:34,9:34,6.27,707.130555813697,114,,"","4x1000 @ 8:00 Minutes Per mile with 400 RI ",
2e84096a-a218-40fc-8423-9e77e8ce90af,2018-03-28 06:39:33,Running,,6.89,1:02:04,9:01,6.66,943.0,114,,"","",2018-03-28-063933.gpx
5d956edf-0af6-4389-8341-b660660c3d7f,2018-03-25 06:03:54,Running,,10.01,1:37:26,9:44,6.16,1370.0,80,,"","",2018-03-25-060354.gpx
e8a1a136-3d78-4b80-9f05-3a4ef8b05815,2018-03-22 18:58:09,Running,,5.00,47:07,9:26,6.36,710.345763921696,58,,"","",
22be8cb8-2afd-4cc4-bc4a-fb9254e19ffe,2018-03-20 18:44:09,Running,,5.70,52:37,9:14,6.50,779.0,69,,"","",2018-03-20-184409.gpx
2f0b2598-3f43-4de9-a30d-74235f9d848f,2018-03-18 06:14:34,Running,,4.04,40:12,9:57,6.03,577.002369331766,0,,"","",
d43333f4-1631-4588-abee-b12622b824b7,2018-03-16 17:10:00,Running,,7.53,1:09:23,9:13,6.51,1031.0,123,,"","",2018-03-16-171000.gpx
76c7dcf3-2183-4e55-a66f-8addec9f2145,2018-03-14 15:03:49,Running,,5.00,47:40,9:32,6.30,676.0,18,,"","",2018-03-14-150349.gpx
