"PlayerName","Team","POS","ADP","IP","rPTS","PTS","aPOS","Dollars"
"Daniel Corcino","Dodgers","SP","999.0","95","402.0","($473.0)","$108.1","($363.9)"
"Jeremy Hellickson","Nationals","SP","578.3","114","402.0","($473.0)","$108.1","($363.9)"
"Gabriel Ynoa","Orioles","SP","999.0","136","401.0","($473.9)","$108.1","($364.8)"
"Nick Nelson","","SP","999.0","107","401.0","($473.9)","$108.1","($364.8)"
"Jacob Nix","Padres","SP","999.0","100","401.0","($473.9)","$108.1","($364.8)"
"Brandon Finnegan","Reds","SP","999.0","108","401.0","($473.9)","$108.1","($364.8)"
"Chad Bettis","Rockies","SP","600.4","123","401.0","($473.9)","$108.1","($364.8)"
"Thomas Jankins","","SP","999.0","123","400.0","($474.8)","$108.1","($365.7)"
"Kyle Dowdy","Mets","SP","999.0","111","400.0","($474.8)","$108.1","($365.7)"
"P.J. Conlon","Mets","SP","999.0","121","400.0","($474.8)","$108.1","($365.7)"
"Ryan Hartman","","SP","999.0","101","399.0","($475.7)","$108.1","($366.6)"
"James Marvel","","SP","999.0","134","399.0","($475.7)","$108.1","($366.6)"
"Dennis Santana","Dodgers","SP","999.0","87","399.0","($475.7)","$108.1","($366.6)"
"Artie Lewicki","Diamondbacks","SP","999.0","106","399.0","($475.7)","$108.1","($366.6)"
"Zach Lee","Mets","SP","999.0","126","399.0","($475.7)","$108.1","($366.6)"
"Dillon Peters","Angels","SP","999.0","118","398.0","($476.5)","$108.1","($367.4)"
"Rob Whalen","Mariners","SP","999.0","113","398.0","($476.5)","$108.1","($367.4)"
"Sean Poppen","","SP","999.0","116","397.0","($477.4)","$108.1","($368.3)"
"JoJo Romero","","SP","999.0","98","397.0","($477.4)","$108.1","($368.3)"
"Ben Bracewell","","SP","999.0","119","397.0","($477.4)","$108.1","($368.3)"
"Luis Escobar","","SP","999.0","113","397.0","($477.4)","$108.1","($368.3)"
"Hyun-Jin Ryu","Dodgers","SP","175.4","88","396.0","($478.3)","$108.1","($369.2)"
